catalogNumber                                          AA0424
basisOfRecord                                  LivingSpecimen
decimalLatitude                                        348498
decimalLongitude                                      6284417
phylum                                           Tracheophyta
Class                                           Magnoliopsida
order                                                 Fabales
family                                               Fabaceae
genus                                                   Senna
specificEpithet                                   candolleana
infraspecificEpithet                                      NaN
nameAcordingTo                            H.S.Irwin & Barneby
verbatimTaxonRank                                         NaN
taxonRank                                             species
acceptedNameUsage       Senna candolleana H.S.Irwin & Barneby
Nombre común                                              NaN
Estado                                                   Viva
establishmentMeans                                     Nativa
ingreso                                                  2019
plantacion                                                NaN
locationRemarks                                           NaN
sex                                             hermaphrodite
Name: AA0424, dtype: object
