catalogNumber                                 AA1091
basisOfRecord                         LivingSpecimen
decimalLatitude                               348430
decimalLongitude                             6284771
phylum                                  Tracheophyta
Class                                  Magnoliopsida
order                                        Fabales
family                                      Fabaceae
genus                                         Acacia
specificEpithet                                caven
infraspecificEpithet                             NaN
nameAcordingTo                       (Molina) Molina
verbatimTaxonRank                                NaN
taxonRank                                    species
acceptedNameUsage       Acacia caven (Molina) Molina
establishmentMeans                            Nativa
locationRemarks                                  NaN
sex                                    hermaphrodite
Name: AA1091, dtype: object
