catalogNumber                        AA0482
basisOfRecord                LivingSpecimen
decimalLatitude                      348536
decimalLongitude                    6284430
phylum                         Tracheophyta
Class                         Magnoliopsida
order                              Myrtales
family                            Myrtaceae
genus                                  Luma
specificEpithet                     chequen
infraspecificEpithet                    NaN
nameAcordingTo                       A.Gray
verbatimTaxonRank                       NaN
taxonRank                           species
acceptedNameUsage       Luma chequen A.Gray
establishmentMeans                   Nativa
locationRemarks                         NaN
sex                           hermaphrodite
Name: AA0482, dtype: object
